   -5.0000000000   -4.0000000000    4.0000000000
   -3.6319194267   -7.7587704831    4.0000000000
   -3.6319194267   -7.7587704831    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -1.0608644749   -4.6946274651    4.0000000000
   -1.0608644749   -4.6946274651    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -2.4289450482   -0.9358569819    4.0000000000
   -2.4289450482   -0.9358569819    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -6.3680805733   -0.2412295169    4.0000000000
   -6.3680805733   -0.2412295169    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -8.9391355251   -3.3053725349    4.0000000000
   -8.9391355251   -3.3053725349    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -7.5710549518   -7.0641430181    4.0000000000
   -7.5710549518   -7.0641430181    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

   -5.0000000000   -4.0000000000    4.0000000000
   -3.6319194267   -7.7587704831    4.0000000000
   -3.6319194267   -7.7587704831    6.0000000000
   -5.0000000000   -4.0000000000    6.0000000000

